Lateness1,Lateness2,Lateness3,Lateness4
0.325,0.903,0.902,1
0.044,0.047,0.491,0.66
0.043,0.468,0.28,0.764
0.045,0.964,0.051,0.912
0.037,0.032,0.346,1
0.032,0.047,0.886,0.667
0.022,0.981,0.271,0.659
0.977,0.97,0.037,0.743
0,0.182,0.189,0.353
0.079,0.963,0.981,0.601
0.047,0.047,0.666,0.449
0.037,0.4,0.949,1
0.047,0.353,0.078,0.165
0.074,0.74,0.398,0.383
0.014,0.149,0.149,0.915
0.074,0.045,0.1,0.896
0,0.191,0.046,0.835
0.045,0.136,0.986,0.519
0.041,0.032,0.047,0.534
0.051,0.085,0.324,0.821
0.979,0.108,0.593,1
0.035,0.755,0.142,0.325
0.022,0.045,0.068,0.551
0.079,0.041,0.219,1
0.047,0.074,0.059,1
0.965,0.157,0.804,0.047
0.594,0.046,0.624,0.4
0.1,0.047,0.562,0.941
0.083,0.483,0.979,1
0.81,0.425,0.188,0.986
0.964,0.2,0.059,1
0,0.086,0.091,0.979
0.456,0.618,0.886,0.878
0.309,0.872,0.453,0.467
0.695,0.115,0.903,0.876
0.894,0.603,0.224,0.711
0.54,0.617,0.233,0.783
0.324,0.744,0.933,0.847
0.725,0.933,0.522,0.876
0.704,0.783,0.721,0.883
0.632,0.876,0.612,0.798
0.766,0.161,0.144,0.881
0.797,0.888,0.138,0.431
0.95,0.542,0.589,0.907
0.921,0.553,0.977,0.606
0.943,0.726,0.161,0.928
0.873,0.467,0.513,0.612
0.877,0.308,0.719,0.933
0.067,0.249,0.3,0.921
0.467,0.178,0.969,0.945
0.56,0.725,0.378,0.624
0.394,0.153,0.316,0.628
0.555,0.84,0,0.343
0.089,0.58,0.83,0.324
0.481,0.138,0.899,0.574
0.829,0.792,0.324,0.81
0.863,0.472,0.943,0.76
0.756,0.981,0.11,0.431
0.48,0.863,0.726,0.676
0.11,0.314,0.783,0.508
0.888,0.713,0.876,0.886
0.746,0.756,0.682,0.744
0.114,0.854,0.556,0.914
0.981,0.53,0.649,0.729
0.876,0.797,0.746,0.888
0.713,0.514,0.618,0.873
0.138,0.531,0.907,0.533
0.28,0.114,0.711,0.899
0.744,0.12,0.188,0.277
0.375,0.921,0.311,0.891
0.876,0.199,0.863,0.56
0.869,0.579,0.375,0.705
0.508,0.536,0.854,0.546
0.797,0.25,0.917,0.25
0.797,0.797,0.546,0.796
0.934,1,0.25,0.323
0.664,0.484,0.876,0.747
0.703,0.049,0.277,0.604
0.701,0.067,0.928,0.487
0.783,0.592,0.233,0.853
0.635,0.731,0.11,0.943
0.969,0.943,0.309,0.828
0.308,0.205,0.579,0.816
0.928,1,0.606,0.775
0.755,0.315,0.775,0.41
0.543,0.688,0.888,0.495
0.794,0.794,0.059,0.233
0.688,0.474,0.714,0.144
0.653,0.121,0.314,0.188
0.219,0.42,0.089,0.11
0.57,0.422,0.798,0.161
0.921,0.911,0.515,0.35
0.879,0.729,0.266,0.624
0.911,0.888,0.294,0.531
1,0.577,0.783,1
0.797,0.855,0.16,0.472
0.153,0.25,0.467,0.767
0.671,0.808,0.508,0.472
0.72,0.324,0.51,0.741
0.682,0.797,0.192,0.089
0.833,0.758,0.394,0.629
0.939,1,0.878,0.939
0.653,0.104,0.653,0.939
0.653,0.878,0.058,0.939
0.939,0.939,0.939,1
0.939,0.96,0.106,1
0.653,0.878,0.939,1
0.653,0.939,0.939,1
0.885,0.939,0.878,1
0.421,0.96,0.037,1
0.96,1,0.653,1
0.106,0.106,0.653,1
0.106,1,0.939,1
0.939,0.939,0.653,1
1,0.106,1,1
0.037,0.939,1,1
1,0.939,0.037,1
0.878,0.96,0.939,0.421
0.939,0.939,1,0.878
0.939,1,0.653,0.878
1,0.421,0.653,0.878
0.878,0.878,0.939,0.878
0.891,0.885,1,0.878
0.673,0.878,0.653,0.939
0.882,0.939,0.939,0.939
0.653,0.106,0.106,0.939
0.939,0.653,0.106,0.939
1,0.058,1,0.939
1,0.939,1,0.939
0.058,1,0.106,0.939
0.939,1,0.939,0.939
0.106,0.653,0.058,0.939
1,1,0.923,0.939
0.037,0.939,0.058,0.106
0.673,0.997,1,0.106
0.037,1,1,0.106
1,0.093,0.939,0.106
0.058,0.939,0.673,0.106
0.939,0.653,0.058,0.106
1,0.939,0.96,0.106
0.939,0.106,0.939,0.082
0.058,0.939,1,0.058
0.543,1,1,0.058
0.939,0.653,1,0.058
0.037,1,0.939,0.037
1,1,0.839,0.037
0.093,0.653,0.939,0.093
0.653,0.939,0.106,1
0.037,1,0.082,1
0.878,0.878,0.96,0.093
0.939,0.106,0.106,0.019
