Predicting,BeforeorAfter,Lateness,CNVSlope
Predicting,After,2,-0.00689304899424314
Predicting,After,2,0.00142387308490773
Predicting,After,2,0.00117945844734398
Predicting,After,2,-0.0112722159052889
Predicting,After,2,0.0242468888560931
Predicting,After,2,0.013168976486971
Predicting,After,2,-0.0145128400375446
Predicting,After,2,-0.0184962693601847
Predicting,After,2,0.00234006500492493
Predicting,After,2,0.0057915358338505
Predicting,After,2,0.00965448981150985
Predicting,After,2,-0.00532666205738982
Predicting,After,2,0.00546650243146966
Predicting,After,2,-0.00521659284519653
Predicting,After,2,-0.0104825279364983
Predicting,After,3,-0.00778315379284322
Predicting,After,3,-0.0127084525302052
Predicting,After,3,-0.0176533813743542
Predicting,After,3,-0.0133966584689915
Predicting,After,3,-0.00214985199272633
Predicting,After,3,-0.0116172725198946
Predicting,After,3,0.0121685190436741
Predicting,After,3,-0.0132156259690722
Predicting,After,3,-0.00287331705233858
Predicting,After,3,0.00834079800794522
Predicting,After,3,0.0165877904122074
Predicting,After,3,0.0120295711482565
Predicting,After,3,0.000410226872190833
Predicting,After,3,0.00519615489368637
Predicting,After,3,0.011827871746694
Predicting,After,3,-0.00886687931294242
Predicting,After,3,0.00408854490766923
Predicting,After,3,-0.00325619615614414
Predicting,After,3,-0.016947865486145
Predicting,After,3,-0.00181150203570724
Predicting,After,3,4.15676428625981e-05
Predicting,After,3,-0.0371795284251372
Predicting,After,3,0.00474404993777474
Predicting,After,3,-0.0293754696613178
Predicting,After,3,0.00591533537954092
Predicting,After,3,0.001456495684882
Predicting,After,3,-0.00529202104856571
Predicting,After,3,0.0092494177321593
Predicting,After,3,0.00843312731012702
Predicting,After,3,-0.00100674650942286
Predicting,After,3,-0.0028893038785706
Predicting,After,3,0.00230345759579601
Predicting,After,3,-0.00633157246435682
Predicting,After,3,-0.00708938421060642
Predicting,After,3,-0.00637230773766836
Predicting,After,3,0.00493371952325106
Predicting,After,3,-0.00466044332521657
Predicting,After,3,-0.000309113626523564
Predicting,After,3,0.00338122729832927
Predicting,After,3,0.0247420504068335
Predicting,After,3,0.00476734495411317
Predicting,After,3,-0.00645952749376496
Predicting,After,3,0.00332671217620373
Predicting,After,3,0.00543049802460397
Predicting,After,3,0.00303382333368063
Predicting,After,3,-0.00156273925676942
Predicting,After,3,-0.013140349338452
Predicting,After,3,0.00415725292017062
Predicting,After,3,0.0310572128122052
Predicting,After,3,-0.00421542506470966
Predicting,After,3,-0.000668805480624239
Predicting,After,3,-0.00992860614011685
Predicting,After,3,-0.0147747385005156
Predicting,After,3,-0.00940167608981331
Predicting,After,3,0.00898517916599909
Predicting,After,3,-0.00114166818093508
Predicting,After,3,0.00644095327394704
Predicting,After,3,0.011321525555104
Predicting,After,3,-0.0126228208343188
Predicting,After,3,-0.00624573820581039
Predicting,After,3,-0.00177389515253405
Predicting,After,4,-0.0120348489532868
Predicting,After,4,-0.0268490860859553
Predicting,After,4,0.00279392792920892
Predicting,After,4,-0.00513924689342578
Predicting,After,4,0.0143960540493329
Predicting,After,4,-0.00753353505084912
Predicting,After,4,1.3604915390412e-05
Predicting,After,4,-0.00748498179018497
Predicting,After,4,0.00513005731045268
Predicting,After,4,0.00366525018277268
Predicting,After,4,-0.00276251385609309
Predicting,After,4,-0.000606433992894987
Predicting,After,4,-0.00738786486908793
Predicting,After,4,0.0169815166542927
Predicting,After,4,-0.00665238841126363
Predicting,After,4,-0.0119595699943602
Predicting,After,4,-2.14654331405958e-06
Predicting,After,4,-0.0098105538636446
Predicting,After,4,-0.00790790840983391
Predicting,After,4,0.00240124948322773
Predicting,After,4,-0.0113095318665728
Predicting,After,4,0.00225583619127671
Predicting,After,4,0.00178358940562854
Predicting,After,4,-0.0036176551754276
Predicting,After,4,-0.00519040257980426
Predicting,After,4,0.00736668456314267
Predicting,After,4,-0.000774294914056857
Predicting,After,4,0.00582107653220495
